"98";"Oscar! Kom dan!!";"6642368/c7a1f5ec/";"You can do it!!!!"
"99";"Kassamevrouw schiet overvaller neer";"6642462/ed7b98c6/";"Met zijn eigen gun..."
"100";"No lookie";"6641630/03a4350c/";"BOEJAAAAAA!"
"101";"Dat is ff schrikken";"6642483/b1efd8d1/";"Wie had dat gedacht?"
"102";"Arme knul";"6642369/91c25bbc/";"Vertrouw daarom nooit iemand, ooit"
"103";"Dus jij wilt graag dat ik ontplof?";"6640693/aece9d12/";"PAK AAN!"
"104";"Zeldzame take off naar het strand in Sint Maarten";"6642388/97577ee7/";"Deze hadden we nog niet"
"105";"Vrouw lanceert hondje";"6642188/de32fc3c/";"OMG POEKIE NEE!"
"106";"Het is lente!!";"6643103/be490a1b/";"De meisjes rennen weer in de natuur!"
"107";"Mexicaans Thug leven";"6643104/cb58edc6/";"Extra bodyslamsalto om het af te maken"
"108";"Behendigheidsrace. Niet aan het lekkers komen";"6642748/74c8f7f2/";"Klaar voor de start? AF!"
"109";"Amateurkeepert heeft er geen zin meer aan";"6643517/03d99717/";"en zegt fuck you. (VIA)"
"110";"Wolf bij Kolham gespot";"6643483/dac20f5f/";"Pompompom, wat een saai kutdorp"
"111";"Volwassen Cartman moet nodig";"6643051/bbc6ea64/";"Ahhhhh, dat lucht op"
"112";"Meisje = poes";"6646886/6605dd5a/";"Lijkt een tikje krols?"
"113";"Hoe het dus niet moet";"6647301/9da22c7a/";"Nou, zo dus"
"114";"Bassie en Adriaan - Een reis door het midden-oosten";"6647056/9c616698/";"The End."
"115";"Onboard beelden Verstappen Maleisië 2015";"6647139/a49d44b5/";"Verstappen in actie"
"116";"Hebbie een peukie voor me?";"6647235/d9bce0c8/";"Duidelijk."
"117";"Hoe de natuurkundeleraar zijn baan verloor";"6647622/8b3eb1d1/";"Gelukkig hebben we de beelden nog!"
"118";"Vrouw gaat kapot in reuzenrad";"6647096/4f42078e/";"Nee, niet nog een rondje"
"119";"Tijd voor wat lekkere muziek";"6647410/5d25c079/";"Gino en zijn homeboys freestylen even voor je JWZ"
"120";"Meisje balanceert boven sloot";"6644204/87fe8cee/";"Maar komt ze ook veilig aan de kant?"
"121";"Komt u te snel klaar (tijdens het fappen)?";"6649903/7eb0a3d0/";"Hier de gouden tip!"
"122";"Kop in de stront";"6649513/3354f0aa/";"e straf voor meewerken aan rodeo's"
"123";"Schot van het JAAR!";"6649780/4cdf73d1/";"Brad Gushue neukt jullie allemaal de moeder met curling"
"124";"Boom valt op stoeltjeslift";"6649544/8e81aedc/";"Stoeltjeslift geeft geen fuck"
"125";"Orka's komen hoi zeggen";"6648921/120afff4/";"Pubers doen het in hun broek"
"126";"Douchepartijtje loopt extreem uit de hand";"6648844/209c9d54/";"TO THE FAPCAVE!"
"127";"WTF Eindhoven: 5 vs 1 kopschoppen en neksnijden";"6649795/d3d938b2/";"Wéér heeft Bureau Brabant heftige beelden van kopschoppers die - voor de ogen van tientallen schijnbaar onverschillige toeschouwers - een 21-jarige jongen neerslaan, kopschoppen én in de nek steken. De mishandeling stamt uit september en politie besteedde"
"128";"Bonje in Alkmaars café";"6649830/196c435c/";"Vroeger kreeg je klappen met vuisten nu krijg je ze met glazen"
"129";"Stoere mannen pakken met z'n allen klein ventje in Oss";"6649877/06c85666/";"Het lijkt maar niet op te houden. Daar sta je dan met je laffe paupergedrag en je falende 'highkick' op internet."
"130";"Amsterdamse tokkie valt vrachtwagenchauffeur aan";"6649978/0d1e27b4/";"Is er iemand die deze man herkent? Hij heeft vanmiddag een oud-collega van mij aangevallen in het Westelijk Havengebied, Amsterdam."
"131";"Urkse tokkies slopen oudere man";"6649716/78215f2f/";"Verjaardagsfeestje met zo'n 50 man aan de Harderbank op Urk loopt uit hand wanneer hersenloze inteelttokkies ruzie krijgen met buurtbewoners."
"132";"Later die avond in Urk";"6649773/e458f529/";"The incest is strong in this one. Eerste deel HIERRR."
"133";"Boobs";;
"134";"Shot";;
"135";"Game of trones";;
"136";"Room";;
"137";"Koning";;
"138";"Haan houder";;
"139";"over vallen";;
"140";"Deo prank";;
"144";"Vogel";;
"145";"Voetballer groet";;
"146";"travel zwembad";;
"147";"bier storage";;
"148";"bijl";;
"149";"oversteken";;
"150";"onbreekbaar hoesje";;
"151";"dansende tieten";;
"152";"peperspray";;
"153";"prank";;
"154";"azza";;
"155";"westland tank geluid";;
"156";"lade";;
"157";"Drummen";;
"158";"koning dj";;
"159";"radio";;
"160";"chineese prono";;
"161";"Dizi gevecht";;
"162";"Stoel zwembad";;
"163";"bruid dansen";;
"164";"Hand en chick";;
"165";"nazie muziek";;
"166";"niet tegen gaan";;
"167";"Vechten na prank prank";;
"168";"Rotonde chrash";;
"169";"Gooi skills";;
"170";"Stripper";;
"171";"Tieten man";;
"172";"Surfer vs haai";;
"173";"Overvaller vs ex minitair";;
"174";"Hardstijl voor dart";;
"175";"Geld gooien tijdens toespraak";;
"176";"Maxim over Ferry Doedens";"6676067/17f71401/";"Haha geintje man, niet gelijk zo boos kijken"
"177";"Martin Hansen maakt wereldgoal in 95e minuut";"6674702/eb6d5007/";"Nu met slomo en GOOOOOAAALLLLLLLLLLL-commentaar"
"178";"De Chinese MEGA explosie van dichtbij";"6675257/ba3421bd/";"Gestabiliseerde versie in HD van 'beste' variant van Tianjin explosie in China."
"179";"TUIGOMA SLOOPT HELE TVPLOEG OP KLAARLICHTE DAG!";"6675083/dc64417d/";"OPROTTEN MET DIE CAMERA!"
"180";"Reaguurder heeft kind gekregen";"6675835/287b5cb8/";"Stop mij maar weer terug"
"181";"Groningse Marokkaan wou ook op de foto";"6675701/ae724611/";"Deze Marokkaan heeft een fijne nacht gehad in Groningen en gaf mijn saaie filmpje een leuke wending."
"182";"Nederlander op de Duitse Autobahn";"6671481/9dadf329/";"Die zag hij efkes niet"
"183";"Strike!";"6676007/b40447e8/";"FUCK YEAHHHHHH!!!!!"
"184";"Weet u waar Moldavie ligt?";"6674641/a158323c/";"Een eeuwenoud tv-formatje dat nog steeds werkt als een tiet met een tierelier. Jan de Vakantieman vraagt het op het Onderbuikslotermeerplein te 020!"
"185";"Beugelsdijk terug in Den Haag";"6677441/3f562ab1/";"Ruuuuustûhg!"
"186";"Rotterdamse Oma mept duif verrot!";"6677036/6e4210e4/";"De Rotterdamse Oma is terug en dit keer heeft ze ruzie met een duif, ken haar dat verrotte!"
"187";"Websnacks";;
"188";"Schatje Schippers pakt zilver";"6677361/eef75f0f/";"Op de 100 meter in Peking. WIN!"
"189";"Friese tokkiechauffeur komt vluchtelingen tegen";"6677336/d88930db/";"""I'm not scared of you!"""
"190";"Max Verstappen heerscht op Spa";"6677137/ca8890ef/";"Move of the day, man of the hour. Max doet bijna alles goed in de Belgische GP."
"191";"Geraldine Kemper Facial #2";"6677449/69886749/";"Hmmm, best zoet"
"192";"Ierse toerist VS Turkse winkeliers";"6677746/59842fb4/";"Epische knokpartij. Aanleiding te zien op 00:37. Hoera voor CCTV"
"193";"Ondertussen bij het Paperclip Festival te Eersel";"6677333/c868a09d/";"Probeert iemand een andere zender op te zoeken"
"194";"Dumpert vistelevee";"6677852/903de716/";"Meisje heeft beet!"
"195";"Volvo is niet te stoppen";"6679149/60d1488a/";"Volgens legendes rijdt hij nu nog steeds"
"196";"Bolt omver";;
"197";"G Goran rapt jullie de moeder";"6679085/ba41d935/";"Versta dr geen fuck van, maar vet is het wel. CHECK HET UUT!"
"198";"Eindelijk. Realistische porno";"6679044/2e8d3f5e/";"Kijk reaguurders, zo ziet dat er nou in het echt uit. [VIA VLAKKELAND]"
"199";"Je broertje insmeren met pindakaas";"6678547/0c930944/";"Broertje als kunstwerk gebruiken +1"
"200";"Splitten in New York";"6678532/6e5e35e7/";"Ballen op de grond"
"201";"Eendenleger";"6678746/db34446f/";"RENNEN!"
"202";"Racistische HaatOpa valt Keurige Negert aan";"6678978/3960b95a/";"*trekt racisme-kaart*"
"203";"Dit is jouw schuld klootzak";"6679080/51ef6cff/";"Ja goed zo vrouwmensch! Niks is jouw schuld, nooit!"
"204";"Man is brommerrijder in Hulst ZAT!";"6680546/3389629d/";"Optyven met je gescheur door de straten, GAUW!"
"205";"Gymzaal fittie";"6680213/66f4e38d/";"Hier, eet deze stoel"
"206";"Brandbluuser in de klas";;
"207";"Alexander Klöpping is een badass";"6679353/f784061a/";"OMG wat een rebel!"
"208";"Cameravrouw laat vluchtelingen struikelen";"6680777/d1b16bda/";"Hopla, baan kwijt."
"209";"Boze Jongen 023 spit lirriks";"6680070/1ac981c9/";"Ook voor al uw feesten en partijtjes...."
"210";"Deefke Roelvink in Sunny Beach, Bulgarije";"6680612/86007dbc/";"HOU ME TEGEN! HOU ME TEGEN!"
"211";"MMA zonder dekking";"6680297/42fe32f8/";"Is voor de echte diehards"
"212";"Drijfauto in Amsterdam";"6680544/cd8fdf40/";"""Ik had 'm hier toch ergens neergezet.."""
"213";"Kolkend water bij VUmc gisteren";"6680714/d6783af2/";"Lijkt wel een scene uit de Titanic"
"214";"Vriendin pesten in de sportschool";"6680712/2cfdf2c6/";"Drop die loser schatje. Kom maar bij mij."
"215";"Hele speciale vis";"6681721/cf696ba0/";"WTF is dit nou weer?"
"216";"Shit DUCK!";"6681558/aa92fd65/";"Hij zei het nog.."
"217";"Langste putt everrr";"6680834/d5f3fbb0/";"Ennn opgelet... HOPLA!"
"218";"De Mosselman karaoke skills";"6681284/8d7debdc/";"In actie tijdens de Happy Hardcore Karaoke show op het Springkussen Festival Amsterdam."
"219";"Derksen voelt zich ongemakkelijk bij Koffietijd";"6681926/98a9de90/";"Pleuriswijven"
"220";"Gozert raakt niet in paniek";"6682205/1cd68a8f/";"Blijft rustig tijdens de glijpartij en beschermt zijn meisje"
"221";"Skills bij Romania's Got Talent";"6681478/6e2ba985/";"Zij mag mijn zakje wel eens rollen"
"222";"Kind dropt bom in winkel";"6682300/27be39e6/";"WTF!?"
"223";"Zeikerd vs Haagse Trambestuurder";"6681090/2eee25d1/";"GEWOON OP HET KNOPPIE DRUKKEN ACHTERLIJKE STAATSMONGOOL!!!!"
"224";"Kevin's eerste rijles";"6683595/caa0397f/";"Gaat nog best goed!"
"225";"Geile neukseks eindigt in fiasco";"6684672/4e028519/";"Eindelijk het gaatje gevonden krijg je dit"
"226";"Hoe duw ik mijn auto?";"6685290/eee76a30/";"Ja, goed idee.."
"227";"Dronken gast doet Safri Duo";"6684836/507d616b/";"Kost je 6 dagen om te maken maar dan heb je wel wat"
"228";"Ha fuck de rij";"6684626/f69612b4/";"Nu ben ik lekker sneller"
"229";"Janneke maakt een Bilfie";"6684151/1e81e5e2/";"Holy shidt... to the fapcave!"
"230";"Brandweerman gaat door het lint";"6682958/c41ecc6b/";"Onzichtbaar muurtje bij het UWV"
"231";"Dit was het nieuws";;
"232";"Hoe vaak heb jij seks met je vriendin?";"6685078/d8483c98/";"BAM BAM!"
"233";"Snapchat en kids compilatie";"6685291/3d627312/";"Geen goede combinatie"
"234";"Oranje komt in verzet";"6687043/a3cc81f0/";"Boze burgers zijn boos op belofte brekende bestuurder. Meer info op GS"
"235";"Oh ik moet toch hier zijn..";"6686993/3aee2e4b/";"Hihi. Jij bent af!"
"236";"AH-medewerker v/d maand sloopt steeldief";"6686720/2c0a395c/";"HEBBES!"
"237";"Wat is het coolste dat je ooit hebt gedaan?";"6687106/f4a8adf1/";"Buiten de deur neuqen?"
"238";"Iemand sleutels kwijt?";"6685631/bfb5dbee/";"Death metal dude helpt een handje"
"239";"Man is helemaal klaar met beginnend bestuurder";"6685572/c654a389/";"Oke, later!"
"240";"Doorrij lul gezocht Breda";"6685503/1abf9eef/";"Op zaterdagavond 15 augustus 2015 rond 23.50 uur wordt paralympisch zwemkampioen Michael Schoenmaker (32) aangereden op de Markendaalseweg in Breda. Zodra hij het zebrapad oversteekt wordt hij omver gereden door de bestuurder van een donkerkleurige auto. "
"241";"Koefnoen doet Jan Roos";"6686477/fd8ea74a/";"Hahahaha! Spijker. Kop. RAAK!"
"242";"Snel water drinken";"6686276/96d45c20/";"Close enough"
"243";"Soldaat past niet door het gaatje";"6687017/88a4fbac/";"En de hele bingoclub lag in een deuk"
"244";"Skatebaan koppen";"6688593/9ff3afdb/";"""Naar voren leunen, een beetje"""
"245";"Gadverdamme... Ober!";"6688269/f3455fe8/";"Er zit een vrouw in m'n soep!"
"246";"Petje vs parapluutje";"6688120/06d803cb/";"Gesprek op hoog niveau!"
"247";"Ondertussen radio 1";"6688268/0b12e281/";"Geen idee waarom, maar boobies"
"248";"Kudt voorruit moet dood";"6686876/f77d1907/";"Yeah! doe ik gewoon met m'n hoofd!"
"249";"Ben Tameifuna is een grote jongen";"6687322/ef5eaef5/";"Als een fucking tank over het veld"
"250";"Britse pliesies doen feesten";"6688127/0a15d64b/";"Kijk ze losgaan dan!"
"251";"Amsterdamse vrouwenfittie";"6687891/2711b6fd/";"Vrouwen gaan met elkaar op de vuist in leidseplein, lange leidsedwarsstraat Amsterdam"
"252";"Heerlijke goal van RvP";"6688700/306928ba/";"JUICH DAN!"
"253";"Buikschuiven op asfalt";"6688152/6aa23f62/";"Dat wordt een fijne korst op de kin"
"254";"Grote broer wil graag enig kind zijn";"6690100/4ff98f3d/";"Komtie dan heh?!"
"255";"Zo is internet";"6690069/b49c299a/";"STRIKE!"
"256";"Griekse voetbal verzorgers";"6689790/30ddfbb9/";"Haha wat een geklooi"
"257";"Jaguar heeft honger";"6689005/0a29a1d0/";"Altijd lekker zo'n alligator"
"258";"Maiskneuzen in je blote tetten";"6689256/ff6222e3/";"Priscilla dommie! Je laat je BH aan de zwaailamp hangen..."
"259";"In het water gooien lukt niet";;
"260";"Knul doet bingezuipsessie";"6689924/3d4a2822/";"Noorse magistrale kotsfontein"
"261";"Gwen duikt in de sekskamer van Henk en Ingrid";"6684259/a5a890ea/";"Vooral als er shows met mannen zijn. NEHHHH!"
"262";"Geyle wijven op een computerbeurs";"6689845/324facc0/";"en zo ziet een Dumpertmeeting er dus ook uit"
"263";"Julio komt over de brug";"6689583/6ca1a168/";"Goh, je zou zeggen dat hij sterk genoeg was."
"264";"Bassi rijdt andersom op de brommert";"6690455/608f0f74/";"Wat een vent"
"265";"Wake up in Groningen";"6691471/a23700ee/";"I can't really enjoy my mornings, but this wakes me up. Have you ever seen gleaming wizard on wheelchair with integrated sound-system? Achievement unlocked. Groningen at 6:00 AM"
"266";"Rus gaat golven";"6691780/ea21091d/";"Maar eerst een autoruit kapot meppen"
"267";"Scheerschuim spuiten op random mensen";"6691510/2b1187bb/";"Hahaha wat een geestige prank! Creatief bedacht ook! In DIT filmpje was je ook al zo grappig! Jij komt er wel, Robin uit Almere!"
"268";"Boobies flashen in de klas";"6691582/5e715b0d/";"Wat een kanjer"
"269";"Taser op fietszadel prank";"6690510/588660a3/";"Kom mijn fiets jatten dan!"
"270";"Fish gap";;
"271";"Sexy chick zonder benen";"6691173/f9d83e5a/";"Imagine the possibilities"
"272";"Trucje op het klimrek";"6691991/1a0e8112/";"Holy shit, dat is best knap!"
"273";"Zusje mag piñata meppen";"6692919/ad8ffcc6/";"Afkijken tot het einde"
"274";"Rotterdamse PVV'er vs Boksturk";"6693397/12e77834/";"LOL!"
"275";"Stagiair is toe aan weekend";"6692515/b9bf3b43/";"En daarom moet een reaguurder lekker binnen blijven"
"276";"Vanmiddag op Inholland";"6693286/32738c57/";"Het is toch niet zo rustig in de tentamenperiode."
"277";"Omstanders zijn boos na aanrijding";"6693489/9514c070/";"Zo los je dat niet op jongens.."
"278";"Barazite heeft een kabouterplopbaard";"6693344/7447c9b2/";"Hij moet lekker gaan voetballen bij IS."
"279";"Fietsmeneer scheldt chauffeur HELEMAAL DE TIEFUS";"6693172/704ca0b0/";"Meneer had haast en kon niet langs m'n vrachtwagen"
"280";"Reaguurders stellen zich voor";"6517502/d5cb90f1/";"Kaas de Vies, aangenaam"
"281";"Lang leve de hoed van Memphis";"6695062/a40a7e90/";"Fragment uit poeplang stukje video van de afdeling Voetbal van de Staatsomroep. Memphis krijgt een Russisch kruisverhoor van een of andere ongelofelijke hater in dienst van de NOS. Over z'n hoed."
"282";"Weer even jong voelen";"6695209/030d4e6b/";"Zo wil ik ook wel oud worden"
"283";"Sit-ups";"6695000/faf8fbb9/";"De sit-up valt onder de krachttraining en wordt gewoonlijk uitgevoerd met het oog op de versterking van de de buikspieren. Men gaat eerst met de rug op de grond liggen, meestal met de armen over de borst of achter het hoofd en de knieën gebogen. Vervolgen"
"284";"Hond snapt deuren niet";"6695005/4244c3a4/";"Of juist wel..."
"285";"Skooter";;
"286";"De goedkope parkeersensor";"6694796/202dd49a/";"Nederlandse slimheid altijd +1"
"287";"De voetbal moet in de ton";"6694722/aa673d61/";"Doe het voor jezus!"
"288";"Ambulancepersoneel geeft ketamine";"6694577/e009f860/";"Bodycheck in me rug en kon niet meer opstaan ketamine in me gespoten om rustig te worden maar heeft andere bijwerking,"
"289";"Oeps foutje";"6694721/832ca369/";"Volgende keer langer en intiemer, alvast bedankt"
"290";"Kat gaat lekker";"6694223/a116dcd9/";"Voel je die beat?"
"291";"De Wereld Eet Doorrr";"6697157/b06ffd47/";"Matthijs eet een stukje taart en leest iets van een briefje"
"292";"Wie doet het met Renee?";"6696636/37eef18c/";"Af en toe!"
"293";"Radio luisteren als je de nacht door moet trucken.";"6696798/2a72a8a6/";"TURN DOWN FOR WHAT?!"
"294";"Rampeneren!";"6691720/5f09e113/";"Niet fokken met god"
"295";"Schilders verhuizen kast";"6696614/d5818df4/";"Ries, hij gaat fout!"
"296";"Mag ik alsjeblieft de muziek tijdens de bruiloft doen?";"6696299/72b6e3c0/";"''Ah toe dan!'' ''Vooruit dan Alexis, omdat je zo goed oefent.''"
"297";"Van je vrienden moet je het hebben";"6696617/700dea12/";"Slapen in de trein...."
"298";"John haat bumperklevers";"6696983/a3751bd5/";"Pwnd"
"299";"Wat ik nou weer in bed vond..";"6695715/49266cb5/";"Vanmorgen filmpje van gemaakt. Raar"
"300";"Vieze dingetjes";"6695594/19406f29/";"Gwen ging de straat op en kwam een reaguurder tegen."
"301";"Classic met verse sound";"6698800/c28d95d9/";"Internet FTW!"
"302";"Oktoberfestmeisjes vinden elkaar lief";"6698439/7fed8ee8/";"Volgens mij zoekt iemand haar sleutels..."
"303";"Raar. Nederlandse South Park mist scene";"6698462/a61bfe4e/";"Watskeburt Comedy Central? Misschien wel de hardste grap uit de nieuwste aflevering van South Park is foetsie in de Nederlandse versie. Mr. Garisson doet Donald Trump na en stelt het volgende beleidsplan voor qua Syrische vluchtelingen: ""fuck them all "
"304";"Belgische Mocro's doen Plop";"6696802/06b985dc/";"Onschuldig vermaak +1"
