"11";"DUMPERTREETEN (11)";"2015-01-28";"6637068/cb60bb0d/";"O_rJnNwbuQ4";"<p>Deskundig commentaar door videoreeters Quid &amp; Vanleeuwen. Dit zijn de filmpjes die worden gereet:
<br>
<br>
<a href=""http://www.dumpert.nl/mediabase/6635663/f765e51b/gabbertje_voor_het_leven.html"" target=""_blank"">Gabber voor het leven</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6636847/4e348a45/niet_fucken_met_rotterdamse_joop.html"" target=""_blank"">Rotterdamse Joop</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6636224/2acf2f0a/supportershome_ajax_in_de_fik.html"" target=""_blank"">Supportershome Ajax in de fik</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6636603/3b2e29cb/gstv_goes_griekenland_ii._athene_by_nightclub.html"" target=""_blank"">GSTV goed Griekenland</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6636317/7fdb955c/hans_teeuwen_sloopt_peter_r._de_vries.html"" target=""_blank"">Hans Teeuwen sloopt Peter r. De Vries</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6636142/659d2b29/knuffelmarokkaan_geeft_het_goede_voorbeeld.html"" target=""_blank"">Ali B. zegt doei</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6636166/1d38dde1/als_darude_van_huis_is.html"" target=""_blank"">Als Darude van huis is...</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6636023/bebd6e23/reaguurder_heeft_strakke_vriendin.html"" target=""_blank"">Reaguurder heeft strakke vriendin..</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6636064/c355a373/deze_heldhond_kan_je_leven_redden.html"" target=""_blank"">Heldhond kan je leven redden</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6635772/5503daf6/deense_tafeltennisspeler.html"" target=""_blank"">Tafeltennisspeler</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6636121/f4a9ca90/200_euro_geven_aan_een_zwerver.html"" target=""_blank"">200 euro geven aan zwerver</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6636952/bb5a69fc/geile_geert._the_movie.html"" target=""_blank"">Geile Geert The Movie</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6635686/a77ee7f2/zo_met_je_bakkus_in_het_draad.html"" target=""_blank"">Ah KUTZOOI!</a></p>";"a:2:{i:0;i:2;i:1;i:4;}"
"12";"DUMPERTREETEN (12)";"2015-03-04";"6642587/2877fed6/";"EXn-NZFAvEo";"<p>Intens belangwekkende analyses van videoreeters Quid &amp; Vanleeuwen. Dit zijn de filmpjes die worden gereet:
<br>
<br>
<a href=""http://www.dumpert.nl/mediabase/6641275/9384158d/meisje_krijgt_broek_niet_aan.html"" target=""_blank"">Meisje krijgt broek niet aan</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6642305/942fedb7/haha_zal_ik_jou_eens_laten_schrikken.html"" target=""_blank"">Zal ik jou eens laten schrikken</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6641420/1f46afef/moeder_wordt_verrast_op_de_radio.html"" target=""_blank"">Moeder wordt verrast op de radio</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6642368/c7a1f5ec/oscar_kom_dan_.html"" target=""_blank"">Oscar kom dan</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6642462/ed7b98c6/kassamevrouw_schiet_overvaller_neer.html"" target=""_blank"">Kassamevrouw schiet overvaller neer</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6641630/03a4350c/no_lookie.html"" target=""_blank"">No lookie skills</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6642483/b1efd8d1/dat_is_ff_schrikken.html"" target=""_blank"">Dat is ff schrikken...</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6642369/91c25bbc/arme_knul.html"" target=""_blank"">Arme knul</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6640693/aece9d12/dus_jij_wilt_graag_dat_ik_ontplof_.html"" target=""_blank"">Dus jij wilt graag dat ik ontplof?</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6642388/97577ee7/zeldzame_take_off_naar_het_strand_in_sint_maarten.html"" target=""_blank"">Take off naar het strand</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6642188/de32fc3c/vrouw_lanceert_hondje.html"" target=""_blank"">Vrouw lanceert hond</a></p>";"a:2:{i:0;i:2;i:1;i:4;}"
"13";"DUMPERTREETEN (13)";"2015-03-12";"6643774/ea3b1aad/";"faWr9u2G2L8";"<p>Onwaarschijnlijk doorwrochte onderzoeksjournalistiek van videoreeters Quid &amp; Vanleeuwen. Dit zijn de filmpjes die worden gereet:
<br><br>
<a href=""http://www.dumpert.nl/mediabase/6643103/be490a1b/het_is_lente_.html"" target=""_blank"">Lente dus dikke tieten</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6643104/cb58edc6/mexicaans_thug_leven.html"" target=""_blank"">Mexicaans Thug leven</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6642748/74c8f7f2/behendigheidsrace._niet_aan_het_lekkers_komen.html"" target=""_blank"">Niet aan het lekkers komen</a>
<br>

<a href=""http://www.dumpert.nl/mediabase/6643517/03d99717/amateurkeepert_heeft_er_geen_zin_meer_aan.html"" target=""_blank"">Amateurkeepert heeft er geen zin meer in</a>
<br>

<a href=""http://www.dumpert.nl/mediabase/6643483/dac20f5f/wolf_bij_kolham_gespot.html"" target=""_blank"">Wolf gespot bij Kolham</a>
<br>
<a href=""http://www.dumpert.nl/mediabase/6643051/bbc6ea64/volwassen_cartman_moet_nodig.html"" target=""_blank"">Volwassen Cartman moet nodig</a></p>";"a:2:{i:0;i:2;i:1;i:4;}"
"14";"DUMPERTREETEN (14)";"2015-04-01";"6647768/6cc1e529/";"QE5C8uJ4fUY";"<p>Helemaal in een nieuw jasje gestopt! Dit zijn de filmpjes die worden gereet: <br><br>

<a href=""http://www.dumpert.nl/mediabase/6646886/6605dd5a/meisje_poes.html"" target=""_blank"">Meisje = poes</a><br>

<a href=""http://www.dumpert.nl/mediabase/6647301/9da22c7a/hoe_het_dus_niet_moet.html"" target=""_blank"">Begrafenis</a><br>

<a href=""http://www.dumpert.nl/mediabase/6647056/9c616698/bassie_en_adriaan_een_reis_door_het_midden_oosten.html&#10;"" target=""_blank"">Bassie Akbar</a><br>

<a href=""http://www.dumpert.nl/mediabase/6647139/a49d44b5/onboard_beelden_verstappen_maleisi_2015.html"" target=""_blank"">Onboard bij Verstappen</a><br>

<a href=""http://www.dumpert.nl/mediabase/6647235/d9bce0c8/hebbie_een_peukie_voor_me_.htm"" target=""_blank"">Peuk bietsen</a><br>

<a href=""http://www.dumpert.nl/mediabase/6647622/8b3eb1d1/hoe_de_natuurkundeleraar_zijn_baan_verloor.html"" target=""_blank"">Hoe de natuurkundeleraar zijn baan verloor</a><br>


<a href=""http://www.dumpert.nl/mediabase/6647096/4f42078e/vrouw_gaat_kapot_in_reuzenrad.html"" target=""_blank"">Kapot gaan in het reuzenrad</a><br>


<a href=""http://www.dumpert.nl/mediabase/6647410/5d25c079/tijd_voor_wat_lekkere_muziek.html"" target=""_blank"">Gino en zijn homeboys</a><br>


<a href=""http://www.dumpert.nl/mediabase/6644204/87fe8cee/meisje_balanceert_boven_sloot.html"" target=""_blank"">Meisje valt in sloot</a></p>";"a:2:{i:0;i:2;i:1;i:4;}"
"15";"DUMPERTREETEN (15)";"2015-04-16";"6650228/24eed546/";"U89fl5fZETE";"<p>Dit zijn de filmpjes die worden gereet:<br><a href=""http://www.dumpert.nl/mediabase/6649903/7eb0a3d0/komt_u_te_snel_klaar_%28tijdens_het_fappen%29_.html"" target=""_blank"">Komt u te snel klaar?</a><br><a href=""http://www.dumpert.nl/mediabase/6649513/3354f0aa/kop_in_de_stront.html"" target=""_blank"">Kop in de stront</a><br><a href=""http://www.dumpert.nl/mediabase/6649780/4cdf73d1/schot_van_het_jaar_.html"" target=""_blank"">Schot van het jaar</a><br><a href=""http://www.dumpert.nl/mediabase/6649544/8e81aedc/boom_valt_op_stoeltjeslift.html"" target=""_blank"">Boom valt op stoeltjeslift</a><br><a href=""http://www.dumpert.nl/mediabase/6648921/120afff4/orka_s_komen_hoi_zeggen.html"" target=""_blank"">Orka's komen hoi zeggen</a><br><a href=""http://www.dumpert.nl/mediabase/6648844/209c9d54/douchepartijtje_loopt_extreem_uit_de_hand.html"" target=""_blank"">Douchepartijtje loopt enorm uit de hand</a><br><a href=""http://www.dumpert.nl/mediabase/6649795/d3d938b2/wtf_eindhoven_5_vs_1_kopschoppen_en_neksnijden.html"" target=""_blank"">WTF Eindhoven. 5 vs 1 kopschoppen</a><br><a href=""http://www.dumpert.nl/mediabase/6649830/196c435c/bonje_in_alkmaars_caf_.html"" target=""_blank"">Bonje in Alkmaars cafe</a><br><a href=""http://www.dumpert.nl/mediabase/6649877/06c85666/stoere_mannen_pakken_met_z_n_allen_klein_ventje_in_oss.html"" target=""_blank"">Stoere mannen pakken klein ventje in Oss</a><br><a href=""http://www.dumpert.nl/mediabase/6649978/0d1e27b4/amsterdamse_tokkie_valt_vrachtwagenchauffeur_aan.html"" target=""_blank"">Amsterdamse tokkie valt vrachtwagenchauffeur aan</a><br><a href=""http://www.dumpert.nl/mediabase/6649716/78215f2f/urkse_tokkies_slopen_oudere_man.html"" target=""_blank"">Urkse tokkies slopen oudere man</a><br><a href=""http://www.dumpert.nl/mediabase/6649773/e458f529/later_die_avond_in_urk.html"" target=""_blank"">Later die avond in Urk</a><br><a href=""http://www.dumpert.nl/mediabase/6649929/dde7f135/urkse_boys_willen_graag_van_dumpert_af.html"" target=""_blank"">Urkse boys willen graag van Dumpert af</a></p>";"a:2:{i:0;i:2;i:1;i:4;}"
"16";"DUMPERTREETEN: Denise toont tetten aan Rene";"2015-04-29";"6652511/a29140b3/";"ZCC0ZFwXSEo";"<p>Een kakelverse DumpertReeten met een doodgeschoten haan, veel onnodig geweld, de tic van prinses Dinges en een speciale verjaardagsgroet voor Rene van Leeuwen!</p>";"a:2:{i:0;i:2;i:1;i:4;}"
"17";"DUMPERTREETEN (17)";"2015-06-24";"6663695/1ecf67e9/";"fDnecJXzWbI";"Op automagische wijze in de toekomst geplaatste kakelnieuwe aflevering van de nu al legendarische cult-online-internet-webshow DUMPERTREETEN.";"a:2:{i:0;i:2;i:1;i:4;}"
"18";"DUMPERTREETEN (18)";"2015-07-22";"6670109/e143c983/";"OnNSN7AYVFs";"Nu met Kim Feenstra! WE ZEIDEN DUS: MET KIM FEENSTRA!";"a:2:{i:0;i:2;i:1;i:4;}"
"19";"DUMPERTREETEN (19)";"2015-08-20";"6676477/f6c9c94c/";"VtZSLkLwqMs";"<p>Met inclusief nieuwe achtergrond, nieuwe baard, nieuwe reaguurdersronde, nieuwe videofucks en een heleboel reeten!<br>

<br>Dit zijn de filmpjes die worden gereet:<br>

<a href=""http://www.dumpert.nl/mediabase/6676067/17f71401/maxim_over_ferry_doedens.html"" target=""_blank"">Maxim dist Ferry Doedens</a><br>

<a href=""http://www.dumpert.nl/mediabase/6674702/eb6d5007/martin_hansen_maakt_wereldgoal_in_95e_minuut.html"" target=""_blank"">Hansen maakt wereldgoal</a><br>

<a href=""http://www.dumpert.nl/mediabase/6675257/ba3421bd/de_chinese_mega_explosie_van_dichtbij.html"" target=""_blank"">Grote boem in China</a><br>

<a href=""http://www.dumpert.nl/mediabase/6675083/dc64417d/tuigoma_sloopt_hele_tvploeg_op_klaarlichte_dag_.html"" target=""_blank"">Tuigoma sloopt cameraploeg</a><br>

<a href=""http://www.dumpert.nl/mediabase/6675835/287b5cb8/reaguurder_heeft_kind_gekregen.html"" target=""_blank"">Resting bitch face baby</a><br>

<a href=""http://www.dumpert.nl/mediabase/6675701/ae724611/groningse_marokkaan_wou_ook_op_de_foto.html"" target=""_blank"">Groningse mocro wil ook op de foto</a><br>

<a href=""http://www.dumpert.nl/mediabase/6671481/9dadf329/nederlander_op_de_duitse_autobahn.html"" target=""_blank"">Nederlander op de Autobahn</a><br>

<a href=""http://www.dumpert.nl/mediabase/6676007/b40447e8/strike_.html"" target=""_blank"">Stttrriikkke!</a><br>

<a href=""http://www.dumpert.nl/mediabase/6674641/a158323c/weet_u_waar_moldavie_ligt_.html"" target=""_blank"">Weet u waar Moldavië ligt?</a><br></p>";"a:2:{i:0;i:2;i:1;i:4;}"
"20";"DUMPERTREETEN (20)";"2015-08-27";"6677972/7df7b88e/";"utenBqRBgBA";"<p>Wat een feest! Uw favoriete ReetMeisters Johnny Quid en René van Leeuwen zijn nu alweer terug voor een hagelnieuwe episode van de beste online webshow DUMPERTREETEN. Met in deze aflevering niet alleen een stompende Ier in Turkije, Geraldine Kemper op haar mooist en een tierende Friese truckchauffeur, maar ook een totale breakdown van die gejatte fopshow Websnacks van campingzender SBS6. KOMT DAT ZIEN KOMT DAT ZIEN.<br>

<br>Dit zijn de filmpjes die worden gereet:<br>

<a href=""http://www.dumpert.nl/mediabase/6677441/3f562ab1/beugelsdijk_terug_in_den_haag.html"" target=""_blank"">Beugelsdijk is terug bij ADO</a><br>

<a href=""http://www.dumpert.nl/mediabase/6677036/6e4210e4/rotterdamse_oma_mept_duif_verrot_.html"" target=""_blank"">Rotterdamse oma mept duif verrot</a><br>

<a href=""http://www.dumpert.nl/mediabase/6677361/eef75f0f/schatje_schippers_pakt_zilver.html"" target=""_blank"">Schatje Schippers pakt zilver</a><br>

<a href=""http://www.dumpert.nl/mediabase/6677336/d88930db/friese_tokkiechauffeur_komt_vluchtelingen_tegen.html"" target=""_blank"">Friese trucker komt vluchtelingen tegen</a><br>

<a href=""http://www.dumpert.nl/mediabase/6677137/ca8890ef/max_verstappen_heerscht_op_spa.html"" target=""_blank"">Max Verstappen ownt Spa</a><br>

<a href=""http://www.dumpert.nl/mediabase/6677449/69886749/geraldine_kemper_facial_2.html"" target=""_blank"">Geraldine Kemper krijgt facial</a><br>

<a href=""http://www.dumpert.nl/mediabase/6677746/59842fb4/ierse_toerist_vs_turkse_winkeliers.html"" target=""_blank"">Ierse toerist VS Turkse winkeliers</a><br>

<a href=""http://www.dumpert.nl/mediabase/6677333/c868a09d/ondertussen_bij_het_paperclip_festival_te_eersel.html"" target=""_blank"">Tepels draaien op Paperclip festival!</a><br></p>";"a:2:{i:0;i:2;i:1;i:4;}"
"21";"DUMPERTREETEN (21)";"2015-09-02";"6679278/bda4c59e/";"SJOElg7EZgw";"<p>Patsboem hatseflatsen. Tijd voor een nieuwe DUMPERTREETEN, de enige echte vintage live webshow met daarin de allerbeste Dumpert-filmpjes van de afgelopen week! Ditmaal een hoofdrol voor de enige echte HaatOpa versus de Keurige Negert, zeer realistisch pornografisch materiaal en de totale pindakaas-baby des doods. Voor uw plezier en vermaak aan elkaar gereet door quizmasters Quid &amp; VanLeeuwen, tevens beschikbaar voor al uw feesten en partijen. Vijf reeten!<br>

<br>Dit zijn de filmpjes die worden gereet:<br>

<a href=""http://www.dumpert.nl/mediabase/6679149/60d1488a/volvo_is_niet_te_stoppen.html"" target=""_blank"">Volvo is niet te stoppen</a><br>

<a href=""http://www.dumpert.nl/mediabase/6677852/903de716/dumpert_vistelevee.html"" target=""_blank"">Dumpert Vis-TV</a><br>

<a href=""http://www.dumpert.nl/mediabase/6679085/ba41d935/g_goran_rapt_jullie_de_moeder.html"" target=""_blank"">G Goran rapt jullie allemaal de moeder</a><br>

<a href=""http://www.dumpert.nl/mediabase/6679044/2e8d3f5e/eindelijk._realistische_porno.html"" target=""_blank"">Realistische porno</a><br>

<a href=""http://www.dumpert.nl/mediabase/6678532/6e5e35e7/splitten_in_new_york.html"" target=""_blank"">Splitten in New York</a><br>

<a href=""http://www.dumpert.nl/mediabase/6678746/db34446f/eendenleger.htmll"" target=""_blank"">Eendenleger</a><br>

<a href=""http://www.dumpert.nl/mediabase/6678978/3960b95a/racistische_haatopa_valt_keurige_negert_aan.html"" target=""_blank"">HaatOpa valt keurige negert aan</a><br>

<a href=""http://www.dumpert.nl/mediabase/6678547/0c930944/je_broertje_insmeren_met_pindakaas.html"" target=""_blank"">Je broertje insmeren met pindakaas</a><br>

<a href=""http://www.dumpert.nl/mediabase/6679080/51ef6cff/dit_is_jouw_schuld_klootzak.html"" target=""_blank"">Jouw schuld klootzak</a><br></p>";"a:2:{i:0;i:2;i:1;i:4;}"
